Account Name,,Legal Name,Company Exists,Active,Employees,Incorporation Year,Incorporation State / Providence,Incorporation Country,Website,Exit Year,Shipping Street,Shipping City,Shipping State/Province,Shipping Country,UEI,
BSS Technologies Inc.,,,Yes,TRUE,,,,,,,,,,United States,,
EnSight Bio,,,No,TRUE,,,,,,,,,,United States,,
PlayWell Gamifications,,,,TRUE,,,,,,,,,,United States,,
MesaGreen Pharmaceutical Co.,,,,TRUE,2,2016,,,www.mesagreenpharma.com,,4539 Metropolitan Court  Suite 207,Frederick,Maryland,United States,,
Integrated Pharma Services,,,,TRUE,5,2018,,,https://www.integratedpharmaservices.com,,4 Research Ct,Rockville,Maryland,United States,,
Ionic ST,,,,TRUE,4,2017,,United States,https://www.ionicst.com,,8100 Boteler Ln,College Park,Maryland,United States,,
OncoGone,,,,TRUE,,,,,,,,,,United States,,
Trivance Design,,,Yes,TRUE,2,2016,,,https://trivancedesign.com,,2710 Flintridge Ct,Myersville,Maryland,United States,,
Cide Kic,,,Yes,TRUE,2,2017,,,https://cidekic-stage.com/public/login,,1833 New Hampshire Avenue,Washington,District of Columbia,United States,,
Ultra V Technologies,,,,TRUE,1,,,,,,,,,United States,,
LaunchPad Music LLC DBA MuSchool,,,,FALSE,,,,,,,,,,United States,,
Federal Network Security,,,,TRUE,,,,,,,,,,United States,,
Cognivo,,,No,FALSE,,,,,,,,,,United States,,
Unit.io,,,,TRUE,5,2021,,,Unit.io,,,Silver Spring,Maryland,United States,,
NOAA,,,,TRUE,,,,,,,,,,United States,,
Henry Hausmann,,,,TRUE,,,,,,,,,,United States,,
Epsilon Innovation Group Inc.,,,,TRUE,1,2012,,,https://www.epsiloninnovation.com/index.html,,11343 Baroque Rd,Silver Spring,Maryland,United States,,
Plastics Upcycling,,,,TRUE,,,,,,,,,,United States,,
Carbon Lockdown,,,,TRUE,3,2022,,,https://carbonlockdown.net,,,College Park,Maryland,United States,,
DAIS Team,,,No,TRUE,,,,,,,,,,United States,,
RoboXR,,,,FALSE,,,,,,,,,,United States,,
NuMoon Spectroscopy LLC.,,,No,TRUE,,,,,https://numoontech.com,,,,,United States,,
Calibr8,,,No,TRUE,,,,,,,,,,United States,,
Growing-Phosphorus,,,No,TRUE,,,,,,,,,,United States,,
"Perfectly Present, Inc",,,Yes,TRUE,,,,,,,,,,United States,,
Pocket Planner Inc,,,Yes,TRUE,5,2019,,,https://pocketplan.io,,5850 Waterloo Rd,Columbia,Maryland,United States,,
Skeyebots,,,No,TRUE,,,,,,,,,,United States,,
FutureSecurity,,,No,TRUE,,,,,,,,,,United States,,
Kubaza WAM Tech,,,No,TRUE,1,,,,,,,,,United States,,
Drones at Night,,,No,TRUE,,,,,,,,,,United States,,
You Heal With Horticulture,,,Yes,TRUE,2,2018,,,,,330 S Morris St,Snow Hill,Maryland,United States,,
Team Donnan for the Future,,,No,TRUE,,,,,,,,,,United States,,
"Aligned IT, LLC.",,,,TRUE,,,,,https://www.alignedit.com/,,,,,United States,,
Error Corp.,,,Yes,TRUE,1,2020,,United States,https://www.linkedin.com/company/error-corp/,,4405 E West Hwy,Bethesda,Maryland,United States,,
The Bowie Sun,,,Yes,TRUE,3,2021,,,https://bowiesun.com,,9408 Van Buren St,Lanham,Maryland,United States,,
Odin Electric,,,No,TRUE,,,,,,,204 Ashley Drive,Centreville,Maryland,United States,,
"Vitalize Care, Inc.",,,Yes,TRUE,10,2021,,United States,https://vitalizecare.co/,,800 Indiana Street,San Francisco,California,United States,,
STORC,,,No,TRUE,,,,,https://www.storc.org/,,"WASHINGTON, DC",WASHINGTON,District of Columbia,United States,,
Children's National Research Institute,,,No,TRUE,,,,,,,,,,United States,,
Team Test,,,No,TRUE,,,,,,,,,,United States,,
Axient,,,Yes,TRUE,,,,,,,,,,United States,,
Robust operations - supply chain risk management,,,No,TRUE,,,,,,,,,,United States,,
Morphing Program,,,No,TRUE,,,,,,,,,,United States,,
ESRA,,,Yes,TRUE,,,,,,,,,,United States,,
Cloud Experimental Design and Optimization (CLEDO),,,No,TRUE,,,,,,,,,,United States,,
Par Save Technologies,,,No,TRUE,,,,,,,,,,United States,,
Tipnpost LLC,,,Yes,TRUE,1,2016,,,https://tipnpost.com/company,,10440 Little Patuxent Pkwy Ste 300,Columbia,Maryland,United States,,
BioBot,,,No,TRUE,,,,,,,,,,United States,,
Fabric Transport Services,,,No,TRUE,,,,,,,,,,United States,,
SmartContact Team,,,No,TRUE,,,,,,,,,,United States,,
Sorbenta,,,No,TRUE,,,,,,,,,,United States,,
functional food innovation for reducing the risk of COVID-19 disease,,,No,TRUE,,,,,,,,,,United States,,
Neuro HealthShield,,,No,TRUE,,,,,,,,,,United States,,
"Weinberg Medical Physics, Inc.",,,Yes,TRUE,8,2008,,,https://www.weinbergmedicalphysics.com/,,12156 Parklawn Dr,North Bethesda,Maryland,United States,,
ARCH DASH,,,Yes,TRUE,,,,,,,,,,United States,,
Pharmaceutical sciences,,,No,TRUE,,,,,,,,,,United States,,
Diamond magnetometer,,,No,TRUE,,,,,,,,,,United States,,
Reversible Electroadhesion,,,,TRUE,,,,,,,,,,United States,,
Otophoto,,,,TRUE,,,,,,,,,,United States,,
VR for Dyslexia,,,,TRUE,,,,,,,,,,United States,,
"Inception Robotics, LLC",,,,TRUE,2,2021,,,https://inceptionrobotics.ai,,4467 Technology Drive  Suite 3110C,College Park,Maryland,United States,,
Autoimmune Disease Cure,,,,TRUE,,,,,,,,,,United States,,
Dead Poultry Retrieval System,,,No,TRUE,,,,,,,,,,United States,,
MantaCode,,,,TRUE,,,,,,,,,,United States,,
EcoScope,,,No,TRUE,,,,,,,,,,United States,,
Stryde,,,No,TRUE,,,,,,,,,,United States,,
Team SCOOT,,,No,TRUE,,,,,,,,,,United States,,
"SentiMetrix, Inc",,,Yes,TRUE,7,2006,,,https://www.sentimetrix.com,,6017 Southport Drive,Bethesda,Maryland,United States,,
PrintSil,,,No,TRUE,,,,,,,,,,United States,,
Scinetics,,,Yes,TRUE,1,2018,,,https://scineticsinc.com/,,2915 Islay Ct,Abingdon,Maryland,United States,,
"Act2End, LLC",,,Yes,TRUE,1,,,,https://www.act2endcoaching.comm,,"1190 West Northern Parkway
Apt 910",Baltimore,Maryland,United States,,
Intertrode,,,No,TRUE,,,,,,,,,,United States,,
"TitanMadeX, LLC",,,No,TRUE,,,,,,,,,,United States,,
"MedaApptic, LLC",,,Yes,TRUE,,,,,,,,,,United States,,
"Collective Good DX, Inc.",,,Yes,TRUE,4,2022,,,https://www.collectivegood.io,,,Chapel Hill,North Carolina,United States,,
Autonomous Micro Air Vehicle (AMAV) Team,,,No,TRUE,,,,,,,,,,United States,,
Right-ADM,,,No,TRUE,,,,,,,,,,United States,,
Ballmecca Inc.,,,Yes,TRUE,1,2023,,,https://www.ballmecca.com/,,4709 Harford Road,Baltimore,Maryland,United States,,
Nc EnviroScan,,,No,TRUE,,,,,,,,,,United States,,
EG Whiteley Ent LLC,,,No,TRUE,1,,,,,,,,,United States,,
Alchemity LLC,,,Yes,TRUE,5,2021,,,https://alchemity.tech/,,9469 Lovat Road,Fulton,Maryland,United States,,
Lica-Tech Inc.,,,No,TRUE,3,2022,,,www.lica-tech.com,,,Pittsburgh,Pennsylvania,United States,,
QubitSolve Inc.,,,Yes,TRUE,4,,,,https://www.qubitsolve.com/,,2006 White Oak Dr,Morgantown,West Virginia,United States,,
Holding Name: Medical Device (Rayan Alabsi),,,,TRUE,,,,,,,,,,United States,,
Hoilding Name: Agriculture (Kriztina Christmon),,,Yes,TRUE,2,,,,https://repurposefarmplastic.com/,,,,,United States,,
Green Geothermal Heating and Cooling,,,No,TRUE,,,,,,,,,,United States,,
CooperSoft,,,Yes,TRUE,1,2005,,,https://coopersoft.com/,,3407 Dunwood Crossing Dr,Bowie,Maryland,United States,,
COAST Lab,,,No,TRUE,,,,,,,,,,United States,,
"360 Dash, LLC",,,Yes,TRUE,1,2021,,,https://360dash.us,,672 Old Mill Road #167,Millersville,Maryland,United States,,
Applied Macromolecular Designs,,,No,TRUE,,,,,,,,,,United States,,
University of Maryland,,,No,TRUE,,,,,,,,,,United States,,
Fluid Reality Incorporated,,,Yes,TRUE,2,2022,,,https://www.fluidreality.com/,,,,,United States,,
Fourier Machines,,,No,TRUE,,,,,,,,,,United States,,
Electra Sun,,,Yes,TRUE,1,,,,https://electrasun.net/,,,,,United States,,
Werl Power,,,,TRUE,1,,,,,,,,,United States,,
Sustainabli,,,Yes,TRUE,4,2022,,,https://www.linkedin.com/company/sashimilab/,,,Baltimore,Maryland,United States,,
Gibbs Marketing LLC,,,Yes,TRUE,10,,,,https://www.gibbsmarketingllc.com,,5F,Millersville,Maryland,United States,,
"Drizzle Health, LLC",,,Yes,TRUE,2,2020,,,https://www.drizzlehealth.com/,,3107 Tilden Dr,Baltimore,Maryland,United States,,
Jaliyaa Coffee,,,Yes,TRUE,,,,,,,,,,United States,,
Avcentx Therapeutics,,,Yes,TRUE,1,,,,,,,,,United States,,
"VijoGeo, LLC",,,Yes,TRUE,,,,,,,6718 DAM NUMBER 4 RD,SHARPSBURG,Maryland,United States,,
XR-Quantum,,,No,TRUE,,,,,,,,,,United States,,
Haptitude,,,No,TRUE,,,,,,,,,,United States,,
Kubanda Cryotherapy,,,Yes,TRUE,,,,,,,3600 Clipper Mill Road,Baltimore,Maryland,United States,,
POCUS Buddy Solutions,,,No,TRUE,,,,,,,,,,United States,,
Grease Garage,,,No,TRUE,,,,,,,,,,United States,,
XpeRience Science,,,Yes,TRUE,,2022,,,https://xperiencesci.com/,,,,,United States,,
UNCFSU Holding Name,,,No,TRUE,,,,,,,,,,United States,,
"Quantum Senses, LLC",,,Yes,TRUE,,,,,,,13701 HEBRON LN,UPPER MARLBORO,Maryland,United States,,
Transfinity Tidal Energy,,,No,TRUE,,,,,,,,,,United States,,
Precision Neuroscopics,,,Yes,TRUE,1,2015,,,https://www.precisionneuroscopics.com/,,4620 Henry St,Pittsburgh,Pennsylvania,United States,,
Fitness Tech LLC,,,,TRUE,1,2019,Maryland,United States,,,,,,United States,,
IoT ConstrucTech,,,No,TRUE,,,,,,,,,,United States,,
Alex's 3D Services,,,Yes,FALSE,1,2019,Maryland,United States,,,,,,United States,,
"BioBind, Inc.",,,Yes,TRUE,4,2019,,,https://www.linkedin.com/company/biobind-inc/about/,,4620 Henry St,Pittsburgh,Pennsylvania,United States,,
SUMZ,,,No,TRUE,,,,,,,,,,United States,,
Song Lab,,,,TRUE,,,,,,,,,,United States,,
"SinnovaTek, Inc.",,,Yes,TRUE,75,2016,,,https://www.sinnovatek.com,,2609 Discovery Dr,Raleigh,North Carolina,United States,,
Sanyal Biotechnology,,,Yes,TRUE,3,2019,,,,,25 James Falls Dr,Richmond,Virginia,United States,,
"NextStep Robotics, Inc.",,,Yes,TRUE,4,2017,,,https://www.nextsteprobo.com/,,800 W Baltimore St,Baltimore,Maryland,United States,,
"Spheringenics, Inc.",,,,TRUE,4,2007,,,,,800 E Leigh St,Richmond,Virginia,United States,,
Recurrent Dynamics,,,,TRUE,,,,,,,,,,United States,,
Repulse Technology,,,No,TRUE,,,,,,,,,,United States,,
Nanodynamics,,,,TRUE,,,,,,,,,,United States,,
"Scaled Microbiomics, LLC",,,No,TRUE,4,2017,,,https://scaledmicrobiomics.com,,706 Morningside Ave,Hagerstown,Maryland,United States,,
Immersive Data Analytics,,,,TRUE,,,,,,,,,,United States,,
VALOR Rx,,,,TRUE,3,2017,,,,,1311 Lael Forest Trl,Burlington,North Carolina,United States,,
MiRA,,,,TRUE,,,,,,,,,,United States,,
Tailored fit,,,Yes,TRUE,2,2022,,,,,1514 N Broadway,Baltimore,Maryland,United States,,
Autonomy Cognition and Robotics (ARC Lab,,,No,TRUE,,,,,,,,,,United States,,
Ali Karimian,,,No,TRUE,,,,,,,,,,United States,,
myfitrun,,,Yes,TRUE,3,2018,,,https://www.linkedin.com/company/myfitrun/,,,Washington,District of Columbia,United States,,
Adi Hajj-Ahmad,,,,TRUE,,,,,,,,,,United States,,
Akshay Bajaj,,,,TRUE,,,,,,,,,,United States,,
Alice Xie,,,No,TRUE,,,,,,,,,,United States,,
Anthony Nearman,,,,TRUE,,,,,,,,,,United States,,
Ava Omnidvar,,,,TRUE,,,,,,,,,,United States,,
Stacks,,,,TRUE,,,,,,,,,,United States,,
"Hale, Inc.",,,,TRUE,3,2017,,,https://halebreathing.com,,Post Office Box 5696,Baltimore,Maryland,United States,,
Aerogel,,,,TRUE,,,,,,,,,,United States,,
Arabic translation package,,,,TRUE,,,,,,,,,,United States,,
"Chesapeake Visions, LLC",,,,TRUE,1,2017,,,http://www.chesapeakevisions.com,,1304 Race St,Baltimore,Maryland,United States,,
Ali Faraji-Rad,,,,TRUE,,,,,,,,,,United States,,
Custom Spray Solutions,,,Yes,FALSE,2,2012,,,http://www.customspraysolutions.com,,800 Tanley Rd,Silver Spring,Maryland,United States,,
Adam Morra,,,,TRUE,,,,,,,,,,United States,,
Delta Z,,,No,TRUE,,,,,,,,,,United States,,
Futureproof Youth Alliance,,,,TRUE,,,,,https://www.futureproofyouthalliance.com,,,,,United States,,
Adam Hardie,,,No,TRUE,,,,,,,,,,United States,,
Andrew Karam,,,,TRUE,,,,,,,,,,United States,,
"Vortex Space Systems, LLC",,,,TRUE,1,2019,Maryland,United States,,,24225 Welsh Rd,Gaithersburg,Maryland,United States,,
Paul Bardack,,,,TRUE,,,,,,,,,,United States,,
Brian Jordan,,,,TRUE,,,,,,,,,,United States,,
Dr. Lawrence Wasserman,,,,TRUE,,,,,,,,,,United States,,
Jay Lee,,,,TRUE,,,,,,,,,,United States,,
Nail Gumerov,,,No,TRUE,,,,,,,,,,United States,,
Raymond Phaneuf,,,,TRUE,,,,,,,,,,United States,,
SecondWrite LLC,,,Yes,TRUE,8,2013,,,https://www.secondwrite.com,,,College Park,Maryland,United States,,
Norman Wereley,,,No,TRUE,,,,,,,,,,United States,,
Peter Zavalij,,,,TRUE,,,,,,,,,,United States,,
Radu Balan,,,No,TRUE,,,,,,,,,,United States,,
Mikhail Anisimov,,,,TRUE,,,,,,,,,,United States,,
Surjalal Sharma,,,,TRUE,,,,,,,,,,United States,,
Dennis Vanengelsdorp,,,,TRUE,,,,,,,,,,United States,,
Seth Morris,,,,TRUE,,,,,,,,,,United States,,
Tijana Dukic,,,No,TRUE,,,,,,,,,,United States,,
John Short,,,,TRUE,,,,,,,,,,United States,,
Enrique Nelson Escobar,,,,TRUE,,,,,,,,,,United States,,
Zhi Zhang,,,,TRUE,,,,,,,,,,United States,,
Gustavo Vecino,,,No,FALSE,0,2004,,,,,10360 Swift Stream Pl,Columbia,Maryland,United States,,
Rishi Roy,,,No,TRUE,,,,,,,,,,United States,,
Jawad Iqbal,,,No,TRUE,,,,,,,,,,United States,,
Rezoom,,,No,TRUE,,,,,,,,,,United States,,
MediaVax Inc,,,Yes,TRUE,5,2020,Maryland,United States,https://mediavax.ai,,3803 Bradley Lane,Chevy Chase,Maryland,United States,,
Farah Dawood,,,,TRUE,,,,,,,,,,United States,,
"Campostella Research and Consulting, LLC",,,Yes,TRUE,1,2020,,,https://campostellaresearch.com,,134 Ike Dr,Alexandria,Virginia,United States,,
Michelle Bailey,,,No,TRUE,1,2014,,,,,912 Caddington Ave,Silver Spring,Maryland,United States,,
PixelRain,,,No,TRUE,,,,,https://www.pixelrain.com,,,,,United States,,
Eric Wallace,,,No,TRUE,,,,,,,,,,United States,,
Prannoy Namala,,,No,TRUE,,,,,,,,,,United States,,
Vaskar Raychoudhury,,,No,TRUE,,,,,,,,,,United States,,
Camilo Mora-Navarro,,,No,TRUE,,,,,,,,,,United States,,
"Repurpose Farm Plastic, Inc.",,,No,TRUE,1,2021,,,https://www.repurposefarmplastic.com,,8819 Patricia Ct,College Park,Maryland,United States,,
Gregory Okhuereigbe,,,No,TRUE,,,,,,,,,,United States,,
IRINA MURESANU,,,No,TRUE,,,,,,,,,,United States,,
Vaibhav Khalas,,,No,TRUE,,,,,,,,,,United States,,
Kedena Thompson,,,No,TRUE,,,,,,,,,,United States,,
"Smart HLPR, LLC",,,Yes,TRUE,1,2018,,,https://smarthlpr.weebly.com/,,5319 Kingsbrook Dr,Frederick,Maryland,United States,,
Yanir Rubinstein,,,No,TRUE,,,,,,,,,,United States,,
Tamecia Jones,,,No,TRUE,,,,,,,,,,United States,,
Rita Martinez Solon,,,No,TRUE,,,,,,,,,,United States,,
Rachaveti Dhanush,,,No,FALSE,,,,,,,,,,United States,,
Maria Luz Barreto Bermudez,,,No,TRUE,,,,,,,,,,United States,,
Move And Still LLC,,,Yes,TRUE,1,2022,,,https://movexstill.com/,,4709 Harford Rd,Baltimore,Maryland,United States,,
Plasticity,,,No,TRUE,,,,,,,,,,United States,,
Emerging Moda,,,Yes,TRUE,,,,,,,,,,United States,,
Marie Bottoms,,,No,TRUE,,,,,,,,,,United States,,
Eric Yvon,,,No,TRUE,,,,,,,,,,United States,,
Pulak Bhushan,,,No,TRUE,,,,,,,,,,United States,,
Kevin Daniels,,,No,TRUE,,,,,,,,,,United States,,
Danyal Malik,,,No,TRUE,,,,,,,,,,United States,,
Postlytics,,,No,FALSE,4,2019,,,https://www.linkedin.com/company/postlytics/,,,College Station,Texas,United States,,
Chris Fesmire,,,No,TRUE,,,,,,,,,,United States,,
Genetoo Inc.,,,Yes,TRUE,4,2017,,,https://www.genetoo.com,,9841 Washingtonian Blvd,Gaithersburg,Maryland,United States,,
John Townshend,,,No,TRUE,,,,,,,,,,United States,,
Nehemiah Emaikwu,,,No,TRUE,,,,,,,,,,United States,,
Jiayu Wan,,,No,TRUE,,,,,,,,,,United States,,
OncoRedox Ltd.,,,No,TRUE,3,2022,,,,,,,,United States,,
SPIS Lab,,,No,TRUE,,,,,,,,,,United States,,
Mark Franz,,,No,TRUE,,,,,,,,,,United States,,
Peter Megson,,,No,TRUE,,,,,,,,,,United States,,
Lytly,,,No,TRUE,,,,,,,,,,United States,,
metaBUS,,,No,TRUE,,2013,,,http://metabus.org,,,,,United States,,
Wynne-PEGLLC,,,No,TRUE,,,,,,,,,,United States,,
Bedside blood test,,,No,TRUE,,,,,,,,,,United States,,
MetabAxis,,,No,TRUE,1,,,,https://app.scientist.com/providers/metabaxis-laboratories,,601 Biotech Dr,North Chesterfield,Virginia,United States,,
START POICN,,,No,TRUE,,,,,,,,,,United States,,
Mini Signal,,,No,TRUE,,,,,,,,,,United States,,
James Parker,,,No,TRUE,,,,,,,,,,United States,,
Sensibility Care,,,No,TRUE,,,,,,,,,,United States,,
Keep Breathing Airway,,,No,TRUE,,,,,,,,,,United States,,
Liang Qiao,,,No,TRUE,,,,,,,,,,United States,,
Maryland Global Initiative for Cybersecurity,,,No,TRUE,,,,,,,,,,United States,,
Marc Cohen,,,No,TRUE,,,,,,,,,,United States,,
Volker Briken,,,No,TRUE,,,,,,,,,,United States,,
Kenyon Crowley,,,No,TRUE,,,,,,,,,,United States,,
Practical Body Network,,,No,TRUE,,,,,,,,,,United States,,
Mangino,,,No,TRUE,,,,,,,,,,United States,,
FileMap,,,No,TRUE,,2016,,,https://filemap.com,,,,,United States,,
ThinTherm,,,No,TRUE,4,2015,,,,,1120 Elliott Ave,Charlottesville,Virginia,United States,,
Flow Power,,,No,TRUE,,,,,,,,,,United States,,
The Smarthome Team,,,No,TRUE,,,,,,,,,,United States,,
Wihicle,,,No,TRUE,,,,,,,,,,United States,,
PhageFlag,,,No,TRUE,,,,,,,,,,United States,,
Dahlgren,,,No,TRUE,,,,,,,,,,United States,,
Nicole Laronde,,,No,TRUE,,,,,,,,,,United States,,
Madison Connect HUB,,,No,TRUE,,,,,,,,,,United States,,
iRTrack,,,No,TRUE,,,,,,,,,,United States,,
Monique Head,,,No,TRUE,,,,,,,,,,United States,,
Color Space,,,No,TRUE,25,,,,,,8435 Helgerman Ct,Gaithersburg,Maryland,United States,,
Meghna Thakur,,,No,TRUE,,,,,,,,,,United States,,
Gary Rubloff,,,No,TRUE,,,,,,,,,,United States,,
Philip Resnick,,,No,TRUE,,,,,,,,,,United States,,
Raja Srinivasan,,,No,TRUE,,,,,,,,,,United States,,
PayAnalytics,,,No,TRUE,21,2017,,,https://www.payanalytics.com,,,,,United States,,
PHAB Lab,,,No,TRUE,,,,,,,,,,United States,,
Christine Hartzell,,,No,TRUE,,,,,,,,,,United States,,
Aquaponics,,,No,TRUE,,,,,,,,,,United States,,
Zhongchi Liu,,,No,TRUE,,,,,,,,,,United States,,
Pain Assessment Device,,,No,TRUE,,,,,,,,,,United States,,
Nate Carriere,,,No,TRUE,,,,,,,,,,United States,,
Security Smart Phones,,,No,TRUE,,,,,,,,,,United States,,
Proticy Ed Tech,,,No,TRUE,,,,,,,,,,United States,,
"Innovative STEM Solutions, LLC",,,No,TRUE,,,Maryland,United States,,,10451 Mill Run Cir,Owings Mills,Maryland,United States,,
KinaMark,,,No,TRUE,2,2015,,,,,1450 S Rolling Rd Ste 1-0,Halethorpe,Maryland,United States,,
Light Guide Surgical,,,No,TRUE,,,,,,,,,,United States,,
Kidney Transplant Imaging,,,No,TRUE,,,,,,,,,,United States,,
Gold Standard MicroGels,,,No,TRUE,,,,,,,,,,United States,,
Pro-Tex Maternity,,,No,TRUE,,,,,,,,,,United States,,
EDM1,,,No,TRUE,,,,,,,,,,United States,,
RemBac Environmental,,,No,TRUE,2,2017,,,https://www.rembac.com,,3140 Edgewood Rd,Ellicott City,Maryland,United States,,
Brad Gersey,,,No,TRUE,,,,,,,,,,United States,,
Daisy Noel Ndofor,,,No,TRUE,,,,,,,,,,United States,,
Underwater Storage Concept,,,No,TRUE,,,,,,,,,,United States,,
Professional services for Tech,,,No,TRUE,,,,,,,,,,United States,,
Wils McCreight,,,No,TRUE,,,,,,,,,,United States,,
Lensguide Imaging Technology Inc.,,,Yes,TRUE,2,2018,,,,,707 Anderson Ave,Rockville,Maryland,United States,,
Mahir Sudad,,,No,TRUE,,,,,,,,,,United States,,
Glenn Pastel,,,No,TRUE,,,,,,,,,,United States,,
Julie Coe,,,No,TRUE,,,,,,,,,,United States,,
Leigh Abts,,,No,TRUE,,,,,,,,,,United States,,
Technik Soccer LLC,,,No,TRUE,,2019,,,https://techniksoccer.com/,,5018 College Ave,College Park,Maryland,United States,,
Zvi Kelman,,,No,TRUE,,,,,,,,,,United States,,
Daniel Slyepichev,,,No,TRUE,,,,,,,,,,United States,,
Berna Uygur,,,No,TRUE,,,,,,,,,,United States,,
"AmyloidX, LLC",,,Yes,TRUE,3,2020,,,https://amyloidx.com/,,5608 Sugarbush Ln,Rockville,Maryland,United States,,
Moniesha Jackson,,,No,FALSE,,,,,,,,,,United States,,
"Creative Strategies, LLC",,,Yes,TRUE,,,,,,,,,,United States,,
Daniel Chapman,,,No,TRUE,,,,,,,,,,United States,,
"Kenny & Vettori, LLP",,,No,FALSE,2,2020,,,http://www.kennyvettori.com,,12246 Roundwood Rd,Lutherville Timonium,Maryland,United States,,
Star Kim,,,No,TRUE,,,,,,,,,,United States,,
TDAY Sports,,,Yes,TRUE,38,2022,,,https://www.linkedin.com/company/tdaysports/,,,State College,Pennsylvania,United States,,
Bulldog EIC,,,No,TRUE,,,,,,,,,,United States,,
AI for Animation,,,No,TRUE,,,,,,,,,,United States,,
Scribe,,,No,TRUE,,,,,,,,,,United States,,
P3D Energy,,,No,TRUE,,,,,,,,,,United States,,
"OraBiotech, LLC",,,Yes,TRUE,,2021,,,,,24 Oak Drive,Durham,North Carolina,United States,,
Frontground,,,No,TRUE,,,,,https://frontground.org,,,,,United States,,
Increscent,,,No,TRUE,,,,,,,,,,United States,,
CMU MechE,,,No,TRUE,,,,,,,,,,United States,,
Maritimatix,,,Yes,TRUE,2,,,,https://mastencain.com/,,,,,United States,,
Dentronics,,,No,TRUE,,,,,,,,,,United States,,
Tech2Roll (T2R),,,No,TRUE,,,,,,,,,,United States,,
"Physics Inverted Materials, Inc.",,,No,TRUE,2,,,,https://www.phinmaterials.com,,,Pittsburgh,Pennsylvania,United States,,
Foreverly,,,No,TRUE,,,,,,,,,,United States,,
Aquair,,,No,TRUE,,,,,,,,,,United States,,
MEC,,,No,TRUE,,,,,,,,,,United States,,
Digital Mental Health App,,,No,TRUE,,,,,,,,,,United States,,
Syzygy Optics Inc.,,,Yes,TRUE,,2010,,,https://syzygyoptics.com/,,P.O. Box 211,Chapel Hill,North Carolina,United States,,
NetGlo Corporation,,,Yes,TRUE,2,2005,,,http://netglo.com,,12711 Clarksville Pike; #752,Clarksville,Maryland,United States,,
"Resilient Lifescience, Inc.",,,Yes,TRUE,2,2022,,,https://www.resilient.bio/about,,100 S Commons Ste 102,Pittsburgh,Pennsylvania,United States,,
"PFF, LLC",,,Yes,TRUE,1,2016,,,https://processforthefuture.com//,,7811 Hubble Dr,Lanham,Maryland,United States,,
"Assure Technologies, LLC",,,Yes,TRUE,1,2018,,,https://www.assuretechnologiesnc.com,,200 Butternut Dr,Chapel Hill,North Carolina,United States,,
Solar Sequor,,,No,TRUE,,,,,,,,,,United States,,
Nebulae Global Benefit Corporation,,,Yes,TRUE,,,,,,,,,,United States,,
"Predictive, LLC",,,Yes,TRUE,4,2019,,,https://www.predictive-llc.com/,,2806 Treasures Ln,Raleigh,North Carolina,United States,,
EPY (Engineered Probiotic Yeast),,,No,TRUE,,,,,,,,,,United States,,
Lightwork Publishing LLC,,,Yes,TRUE,2,,,,https://lightworkpub.com/,,,,,United States,,
Walktime Books,,,No,TRUE,1,2021,Maryland,United States,,,15902 Atlantis Drive,Bowie,Maryland,United States,,
Wave Welcome,,,Yes,TRUE,10,2020,,,https://wavewelcome.com,,6307 Hickory Bnd,Clinton,Maryland,United States,,
Danaus,,,Yes,TRUE,3,,,,https://www.linkedin.com/company/danaus/,,7322 Edmonston Road,College Park,Maryland,United States,,
Nervosys,,,Yes,TRUE,1,2022,,,https://nervosys.ai,,,College Park,Maryland,United States,,
HealthCareAdvocateIQ,,,No,TRUE,,,,,,,,,,United States,,
Relational Innovations,,,No,TRUE,,,,,,,,,,United States,,
Cene Beauty LLC,,,Yes,TRUE,1,2020,,,https://www.cenebeauty.com,,10520 Baltimore Ave,Beltsville,Maryland,United States,,
JCB,,,No,TRUE,,,,,,,,,,United States,,
VETTA Solutions Inc,,,Yes,TRUE,,,,,https://www.vettasolutions.com/,,,,,United States,,
Monifa Vaughn-Cooke,,,No,TRUE,,,,,,,,,,United States,,
"Second Star Robotics, LLC",,,Yes,TRUE,2,2019,,,https://www.secondstarrobotics.com/,,2333 Distribution Cir,Silver Spring,Maryland,United States,,
Strategic Soft Skills Institute,,,Yes,TRUE,8,,,,https://strategicsoftskillsinstitute.com/,,339 Nashua St,Milford,New Hampshire,United States,,
"Freshmeet U., INC",,,Yes,TRUE,5,2016,,,https://www.freshmeetu.com/,,20 Goldsborough Way,Reisterstown,Maryland,United States,,
InZone Inc.,,,Yes,TRUE,,,,,,,,,,United States,,
"UnitedCompass, LLC",,,Yes,TRUE,,,,,,,,,,United States,,
Dust Mitigation Technologies,,,No,TRUE,,,,,,,,,,United States,,
"MCON LC, LLC DBA Hailbytes",,,Yes,TRUE,,,,,,,,,,United States,,
Dmasters,,,No,TRUE,,,,,,,,,,United States,,
"Dockshare, Inc",,,Yes,TRUE,6,2020,,,https://dockshare.app,,,Towson,Maryland,United States,,
United America Corporation,,,Yes,TRUE,,,,,,,,,,United States,,
"Artistanda, LLC",,,Yes,TRUE,,,,,,,,,,United States,,
"Cynthia Rumph, LLC",,,Yes,TRUE,1,,,,https://thefunctionalityexpert.podia.com/,,10999 Red Run Blvd,Owings Mills,Maryland,United States,,
"Unicm, Inc.",,,Yes,TRUE,2,2019,,,,,1031 Hanford Rd,Graham,North Carolina,United States,,
