Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
"Pancopia, Inc.","PANCOPIA, INC.",1100 Exploration Way Ste 208,Hampton,VA,23666-6264,http://www.pancopia.com,6,ZRV7TNXZPDJ3,https://legacy.www.sbir.gov/sbirsearch/detail/699480
"Park & Diamond, inc.",CENTRAL PARK WEST,Rehabilitation Center,Toledo,OH,43617,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/120015
"Park & Diamond, inc.","COLLEGE PARK INDUSTRIES, INC.","College Park Industries, Inc.",Fraser,MI,48026 2226,N/A,N/A,NTW3TX6ZJDE9,https://legacy.www.sbir.gov/sbirsearch/detail/128936
"Park & Diamond, inc.",College Park Software,461 W Loma Alta Drive,Altadena,CA,91001,N/A,2,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/128940
"Park & Diamond, inc.","EDEN PARK ILLUMINATION, INC.",903 N Country Fair Dr,Champaign,IL,61821-3259,https://www.edenpark.com,25,UJEXGL9PNA97,https://legacy.www.sbir.gov/sbirsearch/detail/192535
"Park & Diamond, inc.",ESPARK LEARNING,180 N Stetson Ave 35Th Floor,Chicago,IL,60601-6710,http://espark.com,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/671064
"Park & Diamond, inc.","GEOSPARK ANALYTICS, INC.",13221 Woodland Park Rd Ste 330,Herndon,VA,20171-5505,N/A,25,QH3TRKAQMND9,https://legacy.www.sbir.gov/sbirsearch/detail/1518025
"Park & Diamond, inc.","Highland Park Technologies, LLC",103 Terrace St,Roxbury Crossing,MA,02120-3441,N/A,3,DPZJD6H3WJ43,https://legacy.www.sbir.gov/sbirsearch/detail/2109709
"Park & Diamond, inc.","Love Park Robotics, LLC",2442 S. 19Th Street,Philadelphia,PA,19145-4226,N/A,1,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/391601
"Park & Diamond, inc.",Park Scientific Inst,1171 Borregas Av,Sunnyvale,CA,94089,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/263565
"Park & Diamond, inc.",SKY PARK LABS LLC,275 Annursnac Hill Rd,Concord,MA,01742-5412,https://www.skyparklabs.com/,4,KU1LR5NRBCR8,https://legacy.www.sbir.gov/sbirsearch/detail/1542649
"Park & Diamond, inc.",Solomon Park Research Labs,12815 Ne 124Th Street,Kirkland,WA,98304,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/310867
"Park & Diamond, inc.",SPARK BIOMEDICAL INC.,2319 Rymers Switch Cir,Friendswood,TX,77546-1417,http://www.sparkbiomedical.com,15,KUGZUDSCWQK5,https://legacy.www.sbir.gov/sbirsearch/detail/1583951
"Park & Diamond, inc.",Spark Neuro Inc.,212 W 18Th St Apt 17A,New York,NY,10011-4563,https://www.sparkneuro.com/,15,GW3LFLL3NWT3,https://legacy.www.sbir.gov/sbirsearch/detail/1614593
"Park & Diamond, inc.","SPARK THERMIONICS, INC.",1036 Ashby Ave,Berkeley,CA,94710-2808,N/A,6,KRKLH5NVNW95,https://legacy.www.sbir.gov/sbirsearch/detail/1222449
"Park & Diamond, inc.","STRATTON PARK ENGINEERING CO., INC.",3022 Sterling Cir,Boulder,CO,80301-2376,https://www.specinc.com,13,CVVPKNZLRM41,https://legacy.www.sbir.gov/sbirsearch/detail/313650
"Park & Diamond, inc.",UBERSPARK INC,628 Rockfall Way,Aledo,TX,76008-1160,https://uberspark.com,3,JL5MX8NGEG46,https://legacy.www.sbir.gov/sbirsearch/detail/2078203
"Park & Diamond, inc.",University Park Pathology Assc,1408 W University Ave,Urbana,IL,61801,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/342618
"Park & Diamond, inc.",WildSpark Technologies LLC,5708 Walser Cove,Austin,TX,78735-1819,N/A,4,PSS4T5DT7HF5,https://legacy.www.sbir.gov/sbirsearch/detail/1194231
PathoVax,PATHOVAX LLC,1812 Ashland Ave,Baltimore,MD,21205-1506,http://www.pathovax.com,3,JSD7DWXSGWN1,https://legacy.www.sbir.gov/sbirsearch/detail/1199685
