Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
R&D Contestant 2,AMBIHARV INC.,14705 Forbes Cir,Louisville,KY,40245-5878,N/A,1,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/686141
R&D Contestant 2,(DCS) DIMENSIONAL CONTROL SYSTEMS,"580 Kirts Blvd, Suite 309",Troy,MI,48084,N/A,12,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/71399
R&D Contestant 2,"109 Therapeutics, Inc.",825 N 300 W Ste 300,Salt Lake City,UT,84103-1459,N/A,3,T9CLT4WGBNP5,https://legacy.www.sbir.gov/sbirsearch/detail/1511449
R&D Contestant 2,1109 Bravo L.L.C.,8406 Mary Ct,Crestwood,KY,40014-8969,http://www.1109bravo.com,5,CBF2XH2DVUS6,https://legacy.www.sbir.gov/sbirsearch/detail/1828541
R&D Contestant 2,"1442 S. FALLON STREET, LLC",1230 S 47Th Street,Philadelphia,PA,19143-3806,N/A,2,FXRMGKG32HA4,https://legacy.www.sbir.gov/sbirsearch/detail/1529915
R&D Contestant 2,1st Detect Corp,907 Gemini Ave,Houston,TX,-,http://www.1stdetect.com,8,P8FHAN1B3268,https://legacy.www.sbir.gov/sbirsearch/detail/16232
R&D Contestant 2,1ST PLAYABLE PRODUCTIONS LLC,5 3Rd St # 300,Troy,NY,12180-3282,http://www.1stplayable.com,44,PLDFSKNXC883,https://legacy.www.sbir.gov/sbirsearch/detail/386776
R&D Contestant 2,"2 CIRCLE, INCORPORATED",1400 14Th St N,Arlington,VA,22209-3662,http://www.2circleinc.com,162,EEJNYT8354R5,https://legacy.www.sbir.gov/sbirsearch/detail/1317567
R&D Contestant 2,202 GROUP LLC,1250 Connecticut Ave Nw,Washington,DC,20036-2657,http://www.bluevoyantgov.com,650,FPQ6XDL31YX5,https://legacy.www.sbir.gov/sbirsearch/detail/1614301
R&D Contestant 2,"21st Century Medicine, Inc.",14960 Hilton Dr,Fontana,CA,92336-4026,http://www.21CM.com,22,NG8VBJR2LKK3,https://legacy.www.sbir.gov/sbirsearch/detail/76489
R&D Contestant 2,"21ST CENTURY SYSTEMS, INC.",6500 Prairie Ave,Omaha,NE,68132-2748,N/A,9,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/67090
R&D Contestant 2,"21ST CENTURY THERAPEUTICS, INC.",440 Burroughs St Ste 100,Detroit,MI,48202-3428,N/A,9,YR4CUFNLGKL8,https://legacy.www.sbir.gov/sbirsearch/detail/83106
R&D Contestant 2,2g Enterprises,897 Independence Ave,Mountain View,CA,94043,N/A,7,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/68256
R&D Contestant 2,"2KR SYSTEMS, LLC",217 Mcdaniel Shore Dr,Barrington,NH,03825-5052,http://www.2KRsystems.com,4,Q7U5MNY7P8M5,https://legacy.www.sbir.gov/sbirsearch/detail/1835643
R&D Contestant 2,2LRESEARCH,190 Green Valley Road,Owens Crossroads,AL,35763 9726,N/A,2,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/68486
R&D Contestant 2,2MORROW INC,12020 113Th Ave Ne,Kirkland,WA,98034-6934,Https://www.2morrowinc.com,15,ZS1JSAKF9FK7,https://legacy.www.sbir.gov/sbirsearch/detail/417843
R&D Contestant 2,"3 C CATTLE FEEDERS, INC.",103 E Main St,Mill Creek,OK,74856 0000,N/A,1,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/68726
R&D Contestant 2,"3 DEGREES OF SEPARATION, INC","531 E Third St, Third Floor",Dayton,OH,45402-2280,http://www.3dsanalytical.com,5,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/419233
R&D Contestant 2,3 ROCKS ENGINEERING LLC,430 Main St,Canon City,CO,81212-3734,https://www.3rocksengineering.com,22,V7ZJUH3DZBU3,https://legacy.www.sbir.gov/sbirsearch/detail/1832153
R&D Contestant 2,"3 Sigma Research, Inc.",503 S. River Oaks Dr.,Indialantic,FL,-,N/A,6,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/68974
R&D Contestant 2,3-C INSTITUTE FOR SOCIAL DEVELOPMENT INC,2645 Meridian Pkwy,Durham,NC,27713-9957,http://www.3cisd.com/,N/A,QT46HLX3AQJ5,https://legacy.www.sbir.gov/sbirsearch/detail/334011
R&D Contestant 2,"3+2 PHARMA, LLC",3904 Chapman Ct,Altadena,CA,91001-3871,N/A,4,CA73TAZPAVM8,https://legacy.www.sbir.gov/sbirsearch/detail/1655833
R&D Contestant 2,"360FRESH, INC.","3600, West Bayshore Rd",Palo Alto,CA,-,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/106409
R&D Contestant 2,361 INTERACTIVE LLC,31 S Main St,Dayton,OH,45402-2070,N/A,8,FJ7UHN7MMH15,https://legacy.www.sbir.gov/sbirsearch/detail/69523
