Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
iDx,"SiDx, Inc.",4000 Mason Rd Ste 300,Seattle,WA,98195-0001,http://www.sidx.com,6.0,FC88KYZQWMJ4,https://legacy.www.sbir.gov/sbirsearch/detail/1240789
iDx,"XEN BIOFLUIDX, INC",11494 Sorrento Valley Rd Steh,San Diego,CA,92121-1320,,0.0,,https://legacy.www.sbir.gov/sbirsearch/detail/400342
Illuminate,Nyx Illuminated Clothing Company,5314 South Slauson Avenue,Culver City,CA,90230-6060,,3.0,,https://legacy.www.sbir.gov/sbirsearch/detail/253678
JAB,Jabiru Software and Services,3819 Sunnycroft Place,West Lafayette,IN,47906 8815,,1.0,,https://legacy.www.sbir.gov/sbirsearch/detail/205167
JAB,Paul D. Jablonski,"8144 Garnet Avenue, N.E.",North Canton,OH,44721,,,,https://legacy.www.sbir.gov/sbirsearch/detail/267283
JAB,Richard Jablin And Associates,2500 West Club Boulevard,Durham,NC,27705,,,,https://legacy.www.sbir.gov/sbirsearch/detail/293517
JAB,SiteJabber,3150 18Th Street,San Francisco,CA,94110-2076,,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/15012
MatchStick,MATCHSTICK TECHNOLOGIES INC,5906 105Th Ave Ne,Kirkland,WA,98033-7402,,3.0,GEY3HA4ZT4C7,https://legacy.www.sbir.gov/sbirsearch/detail/1049135
R&D Contestant 2,AMBIHARV INC.,14705 Forbes Cir,Louisville,KY,40245-5878,,1.0,,https://legacy.www.sbir.gov/sbirsearch/detail/686141
R&D Contestant 2,(DCS) DIMENSIONAL CONTROL SYSTEMS,"580 Kirts Blvd, Suite 309",Troy,MI,48084,,12.0,,https://legacy.www.sbir.gov/sbirsearch/detail/71399
R&D Contestant 2,"109 Therapeutics, Inc.",825 N 300 W Ste 300,Salt Lake City,UT,84103-1459,,3.0,T9CLT4WGBNP5,https://legacy.www.sbir.gov/sbirsearch/detail/1511449
R&D Contestant 2,1109 Bravo L.L.C.,8406 Mary Ct,Crestwood,KY,40014-8969,http://www.1109bravo.com,5.0,CBF2XH2DVUS6,https://legacy.www.sbir.gov/sbirsearch/detail/1828541
R&D Contestant 2,"1442 S. FALLON STREET, LLC",1230 S 47Th Street,Philadelphia,PA,19143-3806,,2.0,FXRMGKG32HA4,https://legacy.www.sbir.gov/sbirsearch/detail/1529915
R&D Contestant 2,1st Detect Corp,907 Gemini Ave,Houston,TX,-,http://www.1stdetect.com,8.0,P8FHAN1B3268,https://legacy.www.sbir.gov/sbirsearch/detail/16232
R&D Contestant 2,1ST PLAYABLE PRODUCTIONS LLC,5 3Rd St # 300,Troy,NY,12180-3282,http://www.1stplayable.com,44.0,PLDFSKNXC883,https://legacy.www.sbir.gov/sbirsearch/detail/386776
R&D Contestant 2,"2 CIRCLE, INCORPORATED",1400 14Th St N,Arlington,VA,22209-3662,http://www.2circleinc.com,162.0,EEJNYT8354R5,https://legacy.www.sbir.gov/sbirsearch/detail/1317567
R&D Contestant 2,202 GROUP LLC,1250 Connecticut Ave Nw,Washington,DC,20036-2657,http://www.bluevoyantgov.com,650.0,FPQ6XDL31YX5,https://legacy.www.sbir.gov/sbirsearch/detail/1614301
R&D Contestant 2,"21st Century Medicine, Inc.",14960 Hilton Dr,Fontana,CA,92336-4026,http://www.21CM.com,22.0,NG8VBJR2LKK3,https://legacy.www.sbir.gov/sbirsearch/detail/76489
R&D Contestant 2,"21ST CENTURY SYSTEMS, INC.",6500 Prairie Ave,Omaha,NE,68132-2748,,9.0,,https://legacy.www.sbir.gov/sbirsearch/detail/67090
R&D Contestant 2,"21ST CENTURY THERAPEUTICS, INC.",440 Burroughs St Ste 100,Detroit,MI,48202-3428,,9.0,YR4CUFNLGKL8,https://legacy.www.sbir.gov/sbirsearch/detail/83106
R&D Contestant 2,2g Enterprises,897 Independence Ave,Mountain View,CA,94043,,7.0,,https://legacy.www.sbir.gov/sbirsearch/detail/68256
R&D Contestant 2,"2KR SYSTEMS, LLC",217 Mcdaniel Shore Dr,Barrington,NH,03825-5052,http://www.2KRsystems.com,4.0,Q7U5MNY7P8M5,https://legacy.www.sbir.gov/sbirsearch/detail/1835643
R&D Contestant 2,2LRESEARCH,190 Green Valley Road,Owens Crossroads,AL,35763 9726,,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/68486
R&D Contestant 2,2MORROW INC,12020 113Th Ave Ne,Kirkland,WA,98034-6934,Https://www.2morrowinc.com,15.0,ZS1JSAKF9FK7,https://legacy.www.sbir.gov/sbirsearch/detail/417843
R&D Contestant 2,"3 C CATTLE FEEDERS, INC.",103 E Main St,Mill Creek,OK,74856 0000,,1.0,,https://legacy.www.sbir.gov/sbirsearch/detail/68726
R&D Contestant 2,"3 DEGREES OF SEPARATION, INC","531 E Third St, Third Floor",Dayton,OH,45402-2280,http://www.3dsanalytical.com,5.0,,https://legacy.www.sbir.gov/sbirsearch/detail/419233
R&D Contestant 2,3 ROCKS ENGINEERING LLC,430 Main St,Canon City,CO,81212-3734,https://www.3rocksengineering.com,22.0,V7ZJUH3DZBU3,https://legacy.www.sbir.gov/sbirsearch/detail/1832153
R&D Contestant 2,"3 Sigma Research, Inc.",503 S. River Oaks Dr.,Indialantic,FL,-,,6.0,,https://legacy.www.sbir.gov/sbirsearch/detail/68974
R&D Contestant 2,3-C INSTITUTE FOR SOCIAL DEVELOPMENT INC,2645 Meridian Pkwy,Durham,NC,27713-9957,http://www.3cisd.com/,,QT46HLX3AQJ5,https://legacy.www.sbir.gov/sbirsearch/detail/334011
R&D Contestant 2,"3+2 PHARMA, LLC",3904 Chapman Ct,Altadena,CA,91001-3871,,4.0,CA73TAZPAVM8,https://legacy.www.sbir.gov/sbirsearch/detail/1655833
R&D Contestant 2,"360FRESH, INC.","3600, West Bayshore Rd",Palo Alto,CA,-,,,,https://legacy.www.sbir.gov/sbirsearch/detail/106409
R&D Contestant 2,361 INTERACTIVE LLC,31 S Main St,Dayton,OH,45402-2070,,8.0,FJ7UHN7MMH15,https://legacy.www.sbir.gov/sbirsearch/detail/69523
R&D Contestant 2,3BAR BIOLOGICS INC.,359 Jackson St,Columbus,OH,43206-1352,http://www.3barbiologics.com,3.0,LM3PS9H16K39,https://legacy.www.sbir.gov/sbirsearch/detail/688344
R&D Contestant 2,3c Semiconductors,"4370 N.E. Halsey, Suite 233",Portland,OR,97213,,2.0,,https://legacy.www.sbir.gov/sbirsearch/detail/69618
R&D Contestant 2,3D AERIAL SOLUTIONS LLC,4725 Constitutional Ct,Dayton,OH,45440-5501,http://www.3daerial.com/,6.0,VJ8HRW3VD313,https://legacy.www.sbir.gov/sbirsearch/detail/1503189
R&D Contestant 2,3D ARRAY TECHNOLOGY LLC,300 South St,Vernon Rockville,CT,06066-4213,http://www.3-dat.com,2.0,TJJ3FK61NVC7,https://legacy.www.sbir.gov/sbirsearch/detail/790613
R&D Contestant 2,"3D BIOMATRIX, INC.",1600 Huron Parkway,Ann Arbor,MI,48109-,,0.0,,https://legacy.www.sbir.gov/sbirsearch/detail/391009
R&D Contestant 2,3D CONSTRUCTION CO.,122 Creative Station,Elizabethton,TN,37643,,,,https://legacy.www.sbir.gov/sbirsearch/detail/69928
R&D Contestant 2,"3D Control Systems, Inc.",1355 Market St Lbby 3,San Francisco,CA,94103-1307,https://3dprinteros.com,15.0,CU9CMRRPHRF3,https://legacy.www.sbir.gov/sbirsearch/detail/1656961
R&D Contestant 2,3D EDUCATIONAL SERVICES INC,321 Billerica Rd,Chelmsford,MA,01824-4100,http://www.3desinc.biz,2.0,UCNKBSYK5FN3,https://legacy.www.sbir.gov/sbirsearch/detail/1204833
R&D Contestant 2,3D FORTIFY INC,75 Hood Park Dr,Charlestown,MA,02129-1002,https://www.3dfortify.com,39.0,T163FF5M62E4,https://legacy.www.sbir.gov/sbirsearch/detail/1191133
R&D Contestant 2,"3D Imaging Drug Design and Development, LLC",8060 Counts Massie Road,Maumelle,AR,72113-6657,http://3DImagingllc.com,8.0,W1SFM4QYMTV5,https://legacy.www.sbir.gov/sbirsearch/detail/405534
R&D Contestant 2,3d Informatics,9610 Fairmead Dr,Charlotte,NC,28269,,3.0,,https://legacy.www.sbir.gov/sbirsearch/detail/70328
R&D Contestant 2,3D Microfluidics LLC,36 Grampian Rd Apt 4,Liverpool,NY,13090-4045,,1.0,E3L7ATDTRXL5,https://legacy.www.sbir.gov/sbirsearch/detail/1617585
R&D Contestant 2,"3D Molecular Designs, LLC",804 N Milwaukee St # 200,Milwaukee,WI,53202-3619,http://www.3dmoleculardesigns.com,36.0,ZKH3GL1LBL76,https://legacy.www.sbir.gov/sbirsearch/detail/802069
R&D Contestant 2,3D PIPELINE SIMULATION CORP.,"3414 Peachtree Road, Suite 1060",Atlanta,GA,30326,,9.0,,https://legacy.www.sbir.gov/sbirsearch/detail/71152
R&D Contestant 2,3D RESEARCH CORP.,"7057 Old Madison Pike, Suite 200, P.O. Box 11723",Huntsville,AL,35806,,112.0,,https://legacy.www.sbir.gov/sbirsearch/detail/71216
R&D Contestant 2,3D TECHNOLOGY LABORATORIES,1243 Reamwood Ave,Sunnyvale,CA,94089-2226,,10.0,,https://legacy.www.sbir.gov/sbirsearch/detail/71405
R&D Contestant 2,3D-SENSIR INC,26027 Huntington Ln,Santa Clarita,CA,91355-1107,https://www.3d-sensir.com,12.0,QHDNQBK1P8U3,https://legacy.www.sbir.gov/sbirsearch/detail/1155149
