Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
CykloBurn Technologies LLC,CykloBurn Technologies LLC,1200 Shore Rd,Baltimore,MD,21220-5526,http://www.cykloburn.com,3,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1521275
Luvozo PBC,LUVOZO PBC,4467 Technology Dr,College Park,MD,20742-0001,http://www.luvozo.com,6,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/402995
Opal HTM,OPAL HTM INC,3827 Fawn Ln.,White Plains,MD,20695,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2483201
RedShred,"REDSHRED, LLC",5520 Research Park Dr,Catonsville,MD,21228-4851,http://redshred.com,11,GU8RZGZXU5K7,https://legacy.www.sbir.gov/sbirsearch/detail/680153
