Name,Street Address,City,State,Zip Code,Website,Employee Count,SBIR Profile Link
3DFlexible Inc,11008 Chelsea Way,Laurel,MD,20723-1097,http://www.3dflexible.com/,6,https://legacy.www.sbir.gov/sbirsearch/detail/1221615
INVENTWOOD Inc.,4467 Technology Dr,College Park,MD,20742-0001,https://www.inventwood.com,7,https://legacy.www.sbir.gov/sbirsearch/detail/1189253
"AIRGILITY, INC",5145 Campus Dr,College Park,MD,20742-0001,https://www.airgility.co,9,https://legacy.www.sbir.gov/sbirsearch/detail/1503293
"QUIDIENT, LLC",7012 Sycamore Ln,Easton,MD,21601-9708,https://www.quidient.com,21,https://legacy.www.sbir.gov/sbirsearch/detail/699003
"AMPX TECHNOLOGIES, INC.",4467 Technology Drive Rm 3125,College Park,MD,20742-0001,N/A,3,https://legacy.www.sbir.gov/sbirsearch/detail/1518783
"VORTEX SPACE SYSTEMS, LLC",24225 Welsh Rd,Gaithersburg,MD,20882-3929,N/A,2,https://legacy.www.sbir.gov/sbirsearch/detail/1688959
"REMBAC ENVIRONMENTAL, LLC",3140 Edgewood Rd,Ellicott City,MD,21043-3420,https://www.rembac.com,2,https://legacy.www.sbir.gov/sbirsearch/detail/1614263
