keyword,legal_name,uei,legacy_duns,cage,full_address,congressional_district
F896MG5LQ6R4,"NEXTSTEP ROBOTICS, INC.",F896MG5LQ6R4,080658816,,"800 W BALTIMORE ST STE 151, BALTIMORE, MD UNITED STATES 21201-1158",MD-07
RXBHU5F1N5B8,SCALED MICROBIOMICS LLC,RXBHU5F1N5B8,080733930,,"706 MORNINGSIDE AVE, HAGERSTOWN, MD UNITED STATES 21740-5071",MD-06
