internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
163147306,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2023-10-01,2025-10-31,808887.0,Department of Energy,Department of Energy,,COOPERATIVE AGREEMENT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DEEE0010903_8900
146619430,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2022-03-01,2026-08-31,1697997.0,National Science Foundation,National Science Foundation,,COOPERATIVE AGREEMENT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2136493_4900
140060922,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2021-10-01,2024-09-30,1659850.0,Department of Energy,Department of Energy,,COOPERATIVE AGREEMENT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DEEE0009700_8900
97771039,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2020-06-01,2021-05-31,224969.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2014691_4900
163147306,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2023-10-01,2025-10-31,808887.0,Department of Energy,Department of Energy,,COOPERATIVE AGREEMENT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DEEE0010903_8900
146619430,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2022-03-01,2026-08-31,1697997.0,National Science Foundation,National Science Foundation,,COOPERATIVE AGREEMENT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2136493_4900
140060922,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2021-10-01,2024-09-30,1659850.0,Department of Energy,Department of Energy,,COOPERATIVE AGREEMENT (B),Department of Energy,Department of Energy,930,department-of-energy,ASST_NON_DEEE0009700_8900
97771039,LIATRIS INC.,PJ9WKMRVDDX6,e1165b42-4c75-938f-5911-5b34f5cc8661-R,2020-06-01,2021-05-31,224969.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_2014691_4900
