internal_id,Recipient Name,Recipient UEI,recipient_id,Start Date,End Date,Award Amount,Awarding Agency,Awarding Sub Agency,Contract Award Type,Award Type,Funding Agency,Funding Sub Agency,awarding_agency_id,agency_slug,generated_internal_id
56363999,"NANOCRINE, INC.",QH88DLKTLQM6,304bbef5-daea-8698-2305-1150b798254a-R,2020-08-01,2021-04-30,248706.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),,,655,national-science-foundation,ASST_NON_2033921_4900
91355056,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2019-09-17,2023-08-31,1064822.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R44ES031461_7529
91345793,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2021-09-01,2023-08-31,168087.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),Department of Health and Human Services,National Institutes of Health,806,department-of-health-and-human-services,ASST_NON_R43ES033585_7529
91337251,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2016-09-30,2018-03-29,274617.0,Department of Health and Human Services,National Institutes of Health,,PROJECT GRANT (B),,,806,department-of-health-and-human-services,ASST_NON_R41ES026916_7529
72622940,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2017-09-01,2020-02-29,299994.0,Department of Commerce,National Institute of Standards and Technology,,COOPERATIVE AGREEMENT (B),Department of Commerce,National Institute of Standards and Technology,183,department-of-commerce,ASST_NON_70NANB17H231_1341
72622626,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2016-08-01,2017-01-31,99275.0,Department of Commerce,National Institute of Standards and Technology,,,,,183,department-of-commerce,ASST_NON_70NANB16H185_1341
54297628,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2018-03-01,2020-02-29,753347.0,National Science Foundation,National Science Foundation,,PROJECT GRANT (B),National Science Foundation,National Science Foundation,655,national-science-foundation,ASST_NON_1758621_4900
53328400,AXNANO LLC,NMDVSFDSVCB4,cb2b49f8-b7f5-9396-bb65-0ed5fa471e1f-C,2016-07-01,2017-06-30,224934.0,National Science Foundation,National Science Foundation,,,,,655,national-science-foundation,ASST_NON_1622866_4900
