keyword,sam_company,num_uei,cage,physical_address,mailing_address,entity_url,start_date,contact1,contact2,congressional_district,state_country_incorporation,match,sam_contacts,sf_company,sf_contacts,matched_company,contact_overlap
Armaments Research Company,armaments research company inc,F6KMMJAFFB47,7VYH2,"6422 Broad ST,Bethesda, Maryland,20816-2608, United States","4445 Willard AVE STE 600,Chevy Chase , Maryland,20815, United States",http://www.armaments.us/,"Sep 8, 2013",Michael Canty,Michael Canty,Maryland 08,"Delaware, United States",1,['Michael Canty'],armaments research company,['Michael Canty'],armaments research company,['Michael Canty']
True Bearing Diagnostics,true bearing diagnostics inc,E6K4D6DGCD65,7XEW3,"2450 Virginia AVE NW APT E117,Washington, District Of Columbia,20037-2651, United States","2450 Virginia AVE, NW,Suite E117,Washington, District Of Columbia,20037, United States",https://www.truebearingdiagnostics.com/,"May 17, 2017","Tisha Jepson, CEO","Tisha Jepson, CEO",District Of Columbia 98,"Delaware, United States",1,['Tisha Jepson'],true bearing diagnostics,['Tisha Jepson'],true bearing diagnostics,['Tisha Jepson']
Lasarrus Clinic and Research Center,lasarrus clinic and research center inc,DD7BUVZK2EN8,6XZ47,"634 Kittendale CIR,Baltimore, Maryland,21220-2330, United States","634 Kittendale CIR,Baltimore, Maryland,21220-2330, United States",https://www.lasarrus.com/,"Jun 27, 2013","Lloyd Emokpae, Dr.","Lloyd Emokpae, Dr.",Maryland 02,"Maryland, United States",1,['Lloyd Emokpae'],lasarrus clinic and research center,['Lloyd Emokpae'],lasarrus clinic and research center,['Lloyd Emokpae']
SpringGem Weather Information,springgem weather information llc,FFFNG83J2BB8,848Q0,"10804 Tuckahoe WAY,North Potomac, Maryland,20878-4295, United States","10804 Tuckahoe WAY,North Potomac, Maryland,20878-4295, United States",http://www.sg-weather.com/,"Mar 17, 2017","Menglin S Jin, ceo","Menglin S Jin, ceo",Maryland 08,"Maryland, United States",1,['Menglin Jin'],springgem weather information,['Menglin Jin'],springgem weather information,['Menglin Jin']
Integrated Pharma Services,integrated pharma services llc,VCPJA4KNKQ54,82Z65,"4 Research CT STE 100,Rockville, Maryland,20850-3854, United States","4 Research CT.,Suite 100,Rockville, Maryland,20850-3854, United States",https://www.integratedpharmaservices.com/,"Mar 1, 2018","Mina Izadjoo, President","Mina Izadjoo, President",Maryland 08,"Maryland, United States",1,['Mina Izadjoo'],integrated pharma services,['Mina Izadjoo'],integrated pharma services,['Mina Izadjoo']
You Heal With Horticulture,you heal with horticulture llc,RFGGXKD7RT17,9U2U8,"330 S Morris ST,APT M,Snow Hill, Maryland,21863-1134, United States","330 S Morris ST,M,Snow Hill, Maryland,21863-1134, United States",,"Jul 19, 2018","Ebony Jenkins, Owner","Ebony Jenkins, Owner",Maryland 01,"Maryland, United States",1,['Ebony Jenkins'],you heal with horticulture,['Ebony Jenkins'],you heal with horticulture,['Ebony Jenkins']
Sustainabli,sustainabli llc,R8MNZ353X632,,"6449 River Run,Columbia, Maryland,21044-6022, United States","6449 River Run,Columbia, Maryland,21044, United States",https://sustainabli.org/,"May 3, 2023",Kevin J Tu,Kevin J Tu,Maryland 03,"Maryland, United States",1,['Kevin Tu'],sustainabli,['Kevin Tu'],sustainabli,['Kevin Tu']
XpeRience Science,xperience science llc,ZG1ESGHLVBY7,9K5P5,"1114 Many LN,Bel Air, Maryland,21014-2588, United States","317 Amore Lane,APT L,Bel Air, Maryland,21015, United States",https://xperiencesci.com/,"Jun 9, 2022","Jared B DeCoste, Dr.","Jared B DeCoste, Dr.",Maryland 01,"Maryland, United States",1,['Jared DeCoste'],xperience science,['Jared DeCoste'],xperience science,['Jared DeCoste']
ACTIVECharge,activecharge llc,KY1QMG9XBHZ9,8EFD0,"1450 S Rolling RD,Halethorpe, Maryland,21227-3863, United States","1450 S Rolling RD,Halethorpe, Maryland,21227, United States",https://activecharge.us/,"Oct 31, 2018",Pranay Kohli,Pranay Kohli,Maryland 07,"Delaware, United States",1,['Pranay Kohli'],activecharge,"['Hyun Jun Jung', 'Pranay Kohli']",activecharge,['Pranay Kohli']
Blimp Logistics,blimp logistics inc,FPN6NRF65AS1,8RL81,"9011 Gettysburg LN,College Park, Maryland,20740-4017, United States","9011 Gettysburg LN,College Park, Maryland,20740-4017, United States",https://blimplogistics.com/,"Aug 11, 2020","Camilo B Melnyk, CEO","Camilo B Melnyk, CEO",Maryland 04,"Maryland, United States",1,['Camilo Melnyk'],blimp logistics,['Camilo Melnyk'],blimp logistics,['Camilo Melnyk']
Virtual Apprentice,virtual apprentice llc,MM2US7CH16A7,8E4T9,"1 Research CT,STE 450,Rockville, Maryland,20850-6252, United States","1 Research CT STE 450,Rockville, Maryland,20850-6252, United States",https://www.virtualapprentice.net/,"Jul 11, 2019","Ellie Giles, Dr","Ellie Giles, Founder",Maryland 08,"Maryland, United States",1,['Ellie Giles'],virtual apprentice,['Ellie Giles'],virtual apprentice,['Ellie Giles']
Scinetics,scinetics inc,MWCXWZ6LWMF9,6WHS7,"2915 Islay CT,Abingdon, Maryland,21009-3140, United States","2915 Islay CT,Abingdon, Maryland,21009-3140, United States",https://www.scineticsinc.com/,"May 4, 2018","Amy E. Gair, COO","Jeffrey L Gair, CEO",Maryland 01,"Maryland, United States",1,"['Amy Gair', 'Jeffrey Gair']",scinetics,['Jeffrey Gair'],scinetics,['Jeffrey Gair']
ReflectAR,mimocloud inc,KS8VTNJSQ1D6,66K86,"9304 Belle Terre WAY,Potomac, Maryland,20854-4642, United States","9304 Belle Terre WAY,Potomac, Maryland,20854-4642, United States",,"Sep 4, 2010","Tejbir S Phool, Mr.","Tejbir S Phool, Mr.","Delaware, United States",Maryland 08,0,['Tejbir Phool'],mimocloud,['Tejbir Phool'],mimocloud,['Tejbir Phool']
"InovCares Connected Comprehensive Healthcare, LLC",inovcares connected comprehensive healthcare corp,DSWGNNZEKSK3,9AL96,"1517 Huntington LN,Cleveland Heights, Ohio,44118-1534, United States","1517 Huntington LN,Cleveland Heights, Ohio,44118, United States",https://www.inovcares.com/,"Oct 27, 2023","Mohamed A Kamara, CEO","Mohamed A Kamara, CEO","Delaware, United States",Ohio 11,0,['Mohamed Kamara'],inovcares connected comprehensive healthcare llc,['Mohamed Kamara'],inovcares connected comprehensive healthcare llc,['Mohamed Kamara']
Karaman Language Solutions,karaman language solutions llc,J5LLMNDMRVW1,8CD26,"23592 Buckland Farm TER,Ashburn, Virginia,20148-6305, United States","23592 Buckland Farm TER,Ashburn, Virginia,20148-6305, United States",https://www.karamandc.com/,"Nov 21, 2017","Mukaddes Sahin, Founder and President","Mukaddes Sahin, Founder and CEO","Virginia, United States",Virginia 10,0,['Mukaddes Sahin'],karaman language solutions,['Mukaddes Sahin'],karaman language solutions,['Mukaddes Sahin']
PZA innovation LLC,barter black llc,QM76NANPRM73,91F21,"10127 Prince PL APT 201,Upper Marlboro, Maryland,20774-1126, United States","10127 Prince PL,APT 201,Upper Marlboro, Maryland,20774-1126, United States",https://www.ibarterblack.com/,"Jan 1, 2021","Nicole J Murphy, CEO","Nicole J Murphy, CEO","Maryland, United States",Maryland 04,0,['Nicole Murphy'],barter black,['Nicole Murphy'],barter black,['Nicole Murphy']
Redhelm Labs,redhelm labs llc,XYFQDVGF8WM5,9M7X9,"9122 Baltimore AVE APT 3002,College Park, Maryland,20740-1370, United States","9122 Baltimore AVE APT 3002,College Park, Maryland,20740-1370, United States",https://www.redhelmlabs.com/,"Apr 25, 2023","Neil Sorkin, CEO","Neil Sorkin, CEO","Maryland, United States",Maryland 04,0,['Neil Sorkin'],redhelm labs,"['Ojo Akinwale', 'Neil Sorkin']",redhelm labs,['Neil Sorkin']
