Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
SSA & Teleport Data Services,"Alessa Therapeutics, Inc.",930 Brittan Ave,San Carlos,CA,94070-4002,https://www.alessatherapeutics.com,4,WG5LG2QZ2JY1,https://legacy.www.sbir.gov/sbirsearch/detail/1670145
SSA & Teleport Data Services,AMISSA INC,9319 Robert D Snyder Rd,Charlotte,NC,28223-0001,http://www.amissa.com.,1,UQ8FJSDQQQF6,https://legacy.www.sbir.gov/sbirsearch/detail/1466005
SSA & Teleport Data Services,"BOSSA NOVA TECHNOLOGIES, LLC",11922 Jefferson Blvd,Culver City,CA,90230-6312,http://www.bossanovatech.com,7,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/112892
SSA & Teleport Data Services,MASSA PRODUCTS CORPORATION,280 Lincoln St,Hingham,MA,02043-1796,http://www.massa.com,72,JFCTVSF7T9A3,https://legacy.www.sbir.gov/sbirsearch/detail/957851
SSA & Teleport Data Services,MEISSA VACCINES INC,1100 Island Dr,Redwood City,CA,94065-5185,http://www.meissavaccine.com,4,NWHJJVLRVAZ8,https://legacy.www.sbir.gov/sbirsearch/detail/687409
Tao Systems,"TAO SYSTEMS, INC.","471 Mclaws Circle, Suite A",Williamsburg,VA,23185,N/A,9,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/326469
