Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
LOOP,"INTRALOOP, INC.",205 Detroit St Ste 200 (02-116),Denver,CO,80202,https://www.intraloop.io,11,TBD6DR85MSS3,https://legacy.www.sbir.gov/sbirsearch/detail/1882817
LOOP,"LOOP CO2, INC.",51 John St Apt 403,Brookline,MA,02446-3353,https://loopco2.com/,3,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/2159331
LOOP,"STEMLOOP, INC.",1801 Maple Ave,Evanston,IL,60201-3193,https://stemloop.com,4,DB19KLCTUZ47,https://legacy.www.sbir.gov/sbirsearch/detail/1616015
LOOP,STRANGE LOOP GAMES INC.,3635 Greenwood N Ave,Seattle,WA,98103-8518,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/667109
