Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
Kestrel,KESTREL CORP,3815 Osuna Rd Ne,Albuquerque,NM,87109-4430,http://www.kestrelcorp.com,12,LYPNF1N75RA9,https://legacy.www.sbir.gov/sbirsearch/detail/209481
Kestrel,Kestrel Labs Inc,3133 Indian Rd Suite K,Boulder,CO,80301-2976,http://www.KestrelLabs.com,5,VT6HK9MLF2Y9,https://legacy.www.sbir.gov/sbirsearch/detail/209664
Kestrel,"KESTREL TECHNOLOGY GROUP, LLC",3 Sugar Creek Center Blvd Ste 100,Sugar Land,TX,77478-2211,https://www.ktg-tech.com,10,UWSPNZMG3P97,https://legacy.www.sbir.gov/sbirsearch/detail/694638
Kestrel,KESTREL TECHNOLOGY LLC,3260 Hillview Ave,Palo Alto,CA,94304-1225,http://kestreltechnology.com,4,Y9NYPZALSSS6,https://legacy.www.sbir.gov/sbirsearch/detail/209594
Kestrel,KESTRELX LLC,7131 Business Park Ln,Lake Mary,FL,32746-5615,N/A,1,MFGHL1LNJ6L4,https://legacy.www.sbir.gov/sbirsearch/detail/1620285
Raven Biomaterials LLC,Raven Biomaterials LLC,29 Baldwin St,Pennington,NJ,08534-3303,N/A,2,MKSMZM1F78Q3,https://legacy.www.sbir.gov/sbirsearch/detail/1712437
