Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
Stacks,Stacks Inc,12280 Shale Ridge Rd - Unit #3,Auburn,CA,95603,N/A,14,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/316929
Aerogel,AEROGEL TECHNOLOGIES LLC,1001 W Brentwood Ln,Milwaukee,WI,53217-4118,http://www.aerogeltechnologies.com,6,J2R9F74X27G6,https://legacy.www.sbir.gov/sbirsearch/detail/1652099
Aerogel,"ASPEN AEROGELS, INC.",30 Forbes Road,Northborough,MA,-,http://www.aerogel.com,105,RUMAJ7ELJG96,https://legacy.www.sbir.gov/sbirsearch/detail/355791
Delta Z,"Delta Zee Solutions, L.L.C.",4340 N Paseo De Los Rancheros,Tucson,AZ,85745-9728,N/A,4,QC7EN98LETN7,https://legacy.www.sbir.gov/sbirsearch/detail/1676173
