Keyword,Name,Street Address,City,State,Zip Code,Website,Employee Count,UEI,SBIR Profile Link
Chemicals,Biodyne Chemicals Inc,55 Jewelers Park Dr,Neenah,WI,54956,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/107480
Chemicals,"EscaZyme Biochemicals, LLC",P.O. Box 12096,Zephyr Cove,NV,89448-4096,http://www.escazyme.com,3,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/404305
Chemicals,Ironic Chemicals LLC,252 Old Oaks Rd,Fairfield,CT,06825-1932,N/A,2,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/680833
Chemicals,Merichem Chemicals & Refinery Services LLC,1503  Central,Houston,TX,77012,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/230140
Chemicals,MOGENE GREEN CHEMICALS LC,2252 Welsch Industrial Ct,Saint Louis,MO,63146-4222,N/A,4,JBN7MYGKCUK3,https://legacy.www.sbir.gov/sbirsearch/detail/391579
Chemicals,"Moravek Biochemicals, Inc.",577 Mercury Ln,Brea,CA,92621,N/A,N/A,D5UNRH3YCMD1,https://legacy.www.sbir.gov/sbirsearch/detail/239792
Chemicals,"OMICRON BIOCHEMICALS, INC.",115 S Hill St,South Bend,IN,46617-2701,http://www.omicronbio.com,10,Y9SRZJ4D17Z1,https://legacy.www.sbir.gov/sbirsearch/detail/686434
Chemicals,Phelan Natural Chemicals Co.,"350 Miller Blvd.,",Wooster,OH,44691,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/269564
Chemicals,"QUINTESSENCE CHEMICALS, LLC",84851 Mcbeth Rd,Eugene,OR,97405-9431,N/A,0,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/370092
Chemicals,"REM CHEMICALS, INC.",325 W Queen St,Southington,CT,06489-1177,https://www.remchem.com,63,NJU9AZL2QFB7,https://legacy.www.sbir.gov/sbirsearch/detail/1317863
Chemicals,"Research Biochemicals,",1 Strathmore Rd,Natick,MA,01760,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/291919
Chemicals,"ROCKLAND IMMUNOCHEMICALS, INC.","Po Box 5199, 321 Jones Blvd",Pottstown,PA,19464-3468,N/A,0,NFKNUGEMMY18,https://legacy.www.sbir.gov/sbirsearch/detail/142561
Chemicals,"Sano Chemicals, Inc.",606 Coachlight Ct,College Station,TX,77845-8145,http://www.sanochemicals.com,6,MZFBVZ6KDLA4,https://legacy.www.sbir.gov/sbirsearch/detail/701469
Chemicals,"SOUTHEASTERN BIOCHEMICALS, INC.",516 Woodbrier,Sautee Nacoochee,GA,30571-5194,https://southeasternbiochemicals.com,2,T4WQLZM4VAG9,https://legacy.www.sbir.gov/sbirsearch/detail/1194843
Chemicals,Strem Chemicals Inc.,7 Mulliken Way,Newburyport,MA,01950,N/A,N/A,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/319403
Chemicals,SUSTAINABLE CHEMICALS LLC,703 Aspen Rd,Golden,CO,80401-9479,N/A,1,PGC8XV8NUMJ8,https://legacy.www.sbir.gov/sbirsearch/detail/2096847
Chemicals,SYNTHIO CHEMICALS INC,580 Burbank St,Broomfield,CO,80020-7166,http://www.synthiochem.com,12,JG98GFJGHF74,https://legacy.www.sbir.gov/sbirsearch/detail/1691777
Chemicals,TEXAS BIOCHEMICALS INC,7610 Eastmark Dr,College Station,TX,77840-4024,http://www.texasbiochemicals.com,2,ND71US7MF6Z5,https://legacy.www.sbir.gov/sbirsearch/detail/14508
Chemicals,"WARDENCLYFFE CHEMICALS, INC.",301 Nassau St Ste 7,Princeton,NJ,08540,https://www.wardenchem.com,4,W9E5KZLJTPL6,https://legacy.www.sbir.gov/sbirsearch/detail/1542031
