Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
MIMOCLOUD INC,MIMOCLOUD INC,07/21/2015,01/17/2016,"$80,000.00",Phase I,SBIR,2015.1,https://legacy.www.sbir.gov/sbirsearch/detail/979601
MIMOCLOUD INC,MIMOCLOUD INC,07/15/2014,01/11/2015,"$80,000.00",Phase I,SBIR,2014.1,https://legacy.www.sbir.gov/sbirsearch/detail/689599
MIMOCLOUD INC,MIMOCLOUD INC,07/01/2013,04/30/2014,"$77,868.00",Phase I,STTR,2013.A,https://legacy.www.sbir.gov/sbirsearch/detail/415025
MIMOCLOUD INC,MIMOCLOUD INC,08/15/2011,N/A,"$99,821.00",Phase I,STTR,2010.B,https://legacy.www.sbir.gov/sbirsearch/detail/377268
