Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"Bioresp Technologies, Inc.","Bioresp Technologies, Inc.",05/01/2018,03/31/2019,"$225,000.00",Phase I,SBIR,PA16-302,https://legacy.www.sbir.gov/sbirsearch/detail/1565335
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$70,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125550
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125544
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$750,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125546
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$75,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125542
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$100,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125548
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$300,000.00",Phase II,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125540
"Chromatofast, Inc.","Chromatofast, Inc.",N/A,N/A,"$65,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/125552
Damona Service Co. & Fastenix,Damona Service Co. & Fastenix,N/A,N/A,"$99,662.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/141472
FAST FIT TECHNOLOGIES LLC,FAST FIT TECHNOLOGIES LLC,12/07/2020,11/25/2022,"$1,200,000.00",Phase II,SBIR,16.3,https://legacy.www.sbir.gov/sbirsearch/detail/2178457
FAST FIT TECHNOLOGIES LLC,FAST FIT TECHNOLOGIES LLC,11/02/2017,04/03/2020,"$999,820.49",Phase II,SBIR,16.3,https://legacy.www.sbir.gov/sbirsearch/detail/1514537
