Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
NEW INTEGRATION PHOTONICS,NEW INTEGRATION PHOTONICS,07/27/2023,09/02/2024,"$149,576.00",Phase I,STTR,STTR_23_P1,https://legacy.www.sbir.gov/sbirsearch/detail/2538449
NEW INTEGRATION PHOTONICS,NEW INTEGRATION PHOTONICS,08/02/2023,02/02/2024,"$148,913.00",Phase I,SBIR,SBIR_23_P1,https://legacy.www.sbir.gov/sbirsearch/detail/2539021
NEW INTEGRATION PHOTONICS,NEW INTEGRATION PHOTONICS,08/31/2020,03/01/2021,"$124,668.00",Phase I,SBIR,SBIR_20_P1,https://legacy.www.sbir.gov/sbirsearch/detail/1882093
