Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
A/C & Mechanical Services Corp,A/C & Mechanical Services Corp,N/A,N/A,$0.00,Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/76485
A/C & Mechanical Services Corp,A/C & Mechanical Services Corp,N/A,N/A,"$500,000.00",Phase II,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/76488
A/C & Mechanical Services Corp,A/C & Mechanical Services Corp,N/A,N/A,"$100,000.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/76482
"ADVANCED MECHANICAL SYSTEMS TECHNOLOGY,","ADVANCED MECHANICAL SYSTEMS TECHNOLOGY,",04/02/2007,04/02/2008,"$750,000.00",Phase II,SBIR,2006.1,https://legacy.www.sbir.gov/sbirsearch/detail/75827
"ADVANCED MECHANICAL SYSTEMS TECHNOLOGY,","ADVANCED MECHANICAL SYSTEMS TECHNOLOGY,",04/15/2006,10/16/2006,"$69,583.00",Phase I,SBIR,2006.1,https://legacy.www.sbir.gov/sbirsearch/detail/75825
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",05/02/2011,N/A,"$729,538.00",Phase II,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/384609
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",05/10/2010,12/09/2010,"$99,924.00",Phase I,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/1113
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",01/22/2010,07/21/2010,"$119,981.00",Phase I,SBIR,2009.3,https://legacy.www.sbir.gov/sbirsearch/detail/1115
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",06/18/2009,06/01/2012,"$599,660.00",Phase II,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/75817
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",01/18/2008,01/16/2009,"$99,682.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/75814
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",01/19/2007,07/23/2007,"$99,906.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/75811
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",08/01/2005,05/31/2006,"$69,974.00",Phase I,STTR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/75799
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",11/14/2005,05/13/2006,"$69,373.00",Phase I,SBIR,2005.2,https://legacy.www.sbir.gov/sbirsearch/detail/75801
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",N/A,N/A,"$100,000.00",Phase I,SBIR,DOE/SC-0075,https://legacy.www.sbir.gov/sbirsearch/detail/75794
"Advanced Mechanical Technology, Inc.","Advanced Mechanical Technology, Inc.",N/A,N/A,"$96,242.00",Phase I,SBIR,PHS2004-2,https://legacy.www.sbir.gov/sbirsearch/detail/75796
"ADVANCED MECHANICS TECHNOLOGY, LTD.","ADVANCED MECHANICS TECHNOLOGY, LTD.",02/17/2003,02/17/2005,"$807,349.00",Phase II,SBIR,1999.1,https://legacy.www.sbir.gov/sbirsearch/detail/75833
"ADVANCED MECHANICS TECHNOLOGY, LTD.","ADVANCED MECHANICS TECHNOLOGY, LTD.",N/A,N/A,"$65,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/75831
"ADVANCED MECHANICS TECHNOLOGY, LTD.","ADVANCED MECHANICS TECHNOLOGY, LTD.",N/A,N/A,"$70,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/75835
"AEROMECH ENGINEERING, INC.","AEROMECH ENGINEERING, INC.",05/07/2009,11/07/2009,"$79,975.00",Phase I,SBIR,2009.1,https://legacy.www.sbir.gov/sbirsearch/detail/193509
"AEROMECHANICS, LLC","AEROMECHANICS, LLC",N/A,N/A,"$69,980.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/80107
"AMERICAN ELECTROMECHANICS, INC.","AMERICAN ELECTROMECHANICS, INC.",09/20/2010,03/20/2011,"$79,441.00",Phase I,SBIR,2010.2,https://legacy.www.sbir.gov/sbirsearch/detail/14053
