Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
MICROSPHERE MATERIAL SOLUTIONS LLC,MICROSPHERE MATERIAL SOLUTIONS LLC,05/28/2020,09/14/2023,"$1,529,350.00",Phase II,SBIR,18.1,https://legacy.www.sbir.gov/sbirsearch/detail/1927133
MICROSPHERE MATERIAL SOLUTIONS LLC,MICROSPHERE MATERIAL SOLUTIONS LLC,07/10/2018,10/21/2019,"$124,273.00",Phase I,SBIR,18.1,https://legacy.www.sbir.gov/sbirsearch/detail/1603697
"ION STORAGE SYSTEMS, INC.","ION STORAGE SYSTEMS, INC.",07/10/2023,07/09/2024,"$200,000.00",Phase I,SBIR,DE-FOA-0002903,https://legacy.www.sbir.gov/sbirsearch/detail/2476903
