Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
6crickets Inc.,6crickets Inc.,01/01/2019,09/30/2019,"$225,000.00",Phase I,SBIR,N/A,https://legacy.www.sbir.gov/sbirsearch/detail/1584453
"Cricket System Incorporated,The","Cricket System Incorporated,The",06/20/2013,06/19/2015,"$914,241.00",Phase II,SBIR,2011.2,https://legacy.www.sbir.gov/sbirsearch/detail/666570
"Cricket System Incorporated,The","Cricket System Incorporated,The",10/28/2011,04/30/2012,"$148,779.00",Phase I,SBIR,2011.2,https://legacy.www.sbir.gov/sbirsearch/detail/398405
"MIGHTY CRICKET, INC","MIGHTY CRICKET, INC",05/04/2023,02/29/2024,"$131,500.00",Phase I,SBIR,USDA-NIFA-SBIR-009301,https://legacy.www.sbir.gov/sbirsearch/detail/2487715
