Keyword Search,Company Name,Start Date,End Date,Funding Amount,Phase,Program,Solicitation Number,Source Link
"REMBAC ENVIRONMENTAL, LLC","REMBAC ENVIRONMENTAL, LLC",09/01/2023,07/31/2025,"$644,865.00",Phase II,SBIR,PA22-176,https://legacy.www.sbir.gov/sbirsearch/detail/2511641
"REMBAC ENVIRONMENTAL, LLC","REMBAC ENVIRONMENTAL, LLC",07/01/2020,06/30/2021,"$140,326.00",Phase I,SBIR,PA19-272,https://legacy.www.sbir.gov/sbirsearch/detail/1913905
